,Unnamed: 0,Domain,Sub-domain,Paragraph,Context,Sentence,Rating,Transliteration,AYA_8b_vanilla,AYA_8b_avg,AYA_8b_entropy,AYA_32b_vanilla,AYA_32b_avg,AYA_32b_entropy,conf_aya_32b_vanilla,conf_aya_32b_avg,conf_aya_32b_entropy,conf_aya_32b_verbal_conf,conf_noscale_aya_32b_vanilla,conf_noscale_aya_32b_avg,conf_noscale_aya_32b_entropy,conf_noscale_aya_32b_verbal_conf,noscale_aya_8b_vanilla,noscale_aya_8b_avg,noscale_aya_8b_entropy,noscale_aya_32b_vanilla,noscale_aya_32b_avg,noscale_aya_32b_entropy,FKGL,FRE,ARI,RSRS_mBERT,AYA_8b_entropy_minmax,AYA_32b_entropy_minmax,conf_aya_32b_entropy_minmax,conf_noscale_aya_32b_entropy_minmax,noscale_aya_8b_entropy_minmax,noscale_aya_32b_entropy_minmax,conf_aya_32b_verbal_conf_minmax,conf_noscale_aya_32b_verbal_conf_minmax
0,0,,,,,,6,False,1.9875671602350904,2.152928211321058,0.010385271,3.0695176584056543,3.1061237646155115,0.008091373,3.084107018986945,3.120473757846926,0.014387223,0.7740084864517811,1.8531879418397716,1.9298229873531203,0.010836062,0.8017497122719093,1.411841040182113,1.4849842884586295,0.026172473,1.7450474242449758,1.836959161998303,0.002213453,6.0,60.15,-0.44709330899129185,0.9364891687525759,0.18429563405757446,0.1368663263639407,0.2057983949678448,0.09958311401143335,0.23246761914757427,0.018536329145054604,0.36119276956290536,0.5424164698437637
1,1,,,,,,2,False,0.2007643596197061,0.1918928575606055,0.001388472,-0.029012454238238738,-0.032482001384658545,0.011219612,-0.023276279388580703,-0.01415002885430577,0.005245452,0.7817576531758504,0.31534433509161613,0.34001016652156213,0.002219376,0.7999188909000168,0.7573938913476961,0.6842713268851752,0.062749304,0.45884269747228146,0.4971911898517503,0.004346294,0.5,102.39,-1.7754045595254584,-0.7815232806644882,0.024573571103238285,0.18978079451621782,0.07503212655202254,0.01666690088678016,0.5574183260632832,0.038577685614204535,0.4005705489585907,0.5325502478361659
2,2,,,,,,1,False,1.9875671602350904,2.077277314718812,0.010874979,-0.029012454238238738,0.1915666102382476,0.047436322,-0.023276279388580703,-0.03995740002723075,0.017444884,0.7562172618165193,0.31534433509161613,0.7195715379456363,0.055953605,0.7999279367881627,1.411841040182113,1.3789726603170327,0.049294611,0.45884269747228146,0.5099190202462945,0.00839851,-1.5,48.79,-0.3955084060579261,-0.7424896467897116,0.19298952307357248,0.8023899806670385,0.2495359726265492,0.5337379400139944,0.4378860461431381,0.07665455367234525,0.2707857691959634,0.5325989957599524
3,3,,,,,,2,False,1.9875671602350904,2.1079575993307733,0.003360823,3.0695176584056543,3.1126840481739935,0.006087299,3.084107018986945,3.12931714643984,0.012220155,0.7787763503191979,1.084266138465694,1.4289983538182385,0.06026899,0.7165323259410797,1.411841040182113,1.3390367438034858,0.056148416,1.7450474242449758,1.820904800738583,0.0100374087349475,2.4,59.82,-0.7694989523248275,0.43555365335033,0.059589132814692324,0.1029672189594851,0.1748000910545944,0.5752638099801197,0.4987756508169935,0.09205455478068934,0.3854209089545435,0.08318343632389835
4,4,,,,,,3,False,0.2007643596197061,1.0915544319393808,0.055710442,-0.029012454238238738,0.22393830046352972,0.047240257,-0.023276279388580703,0.010341700639112102,0.010519036,0.7622450132,0.31534433509161613,0.5789850170106022,0.048918395,0.7997772332896147,0.7573938913476961,1.0958023522203963,0.062931833,0.45884269747228146,0.4983722208189105,0.004401811,2.4,71.85,-1.027423466991656,-0.6029300729557168,0.9889629180413616,0.799073522046621,0.150466842741849,0.4660398746862466,0.5590399243800597,0.039099354124467516,0.3014160901946705,0.5317868607276526
5,5,,,,,,2,False,0.2007643596197061,0.20258697769409123,0.003595527,-0.029012454238238738,-0.023743458930033396,0.012893613,-0.023276279388580703,-0.00317011533137964,0.007046615,0.7777299474273519,0.31534433509161613,0.3269275678897025,0.007890874,0.7998956104010517,0.7573938913476961,0.6504166528658466,0.074809304,0.45884269747228146,0.44432965584948425,0.0236069323761361,-0.4,74.94,-1.3498291103251916,-0.7055516730644324,0.06375588224008623,0.21809668489460005,0.1007964302431397,0.07124230689600974,0.664560071760264,0.21956132176876678,0.38010356017352764,0.532424790172866
6,6,,,,,,2,False,-1.5860384409956783,-1.0655561973237655,0.052062607,-1.0618558251195365,-1.1082658376974355,0.007242458,-1.0590707121804226,-1.0369060946531883,0.014041758,0.7987569394982301,-0.4535774682824616,-0.935386753925516,0.1044077445851329,0.7222685737237029,-1.205947555155555,-1.4822710787079232,0.048429432,-1.4704643926867602,-1.3665758635898655,0.048354348,-1.4,84.33,-1.3111404331251673,-1.1903379764749478,0.9242021368438456,0.12250684624381865,0.2008567738182588,1.0,0.43019974528075267,0.45210175877652636,0.4869532750661074,0.1140958426256935
7,7,,,,,,2,False,0.2007643596197061,0.177093831632517,0.003080904,-0.029012454238238738,-0.05971693663331735,0.001922513,-0.023276279388580703,-0.020072171712248687,0.000560291,0.797702181430435,0.31534433509161613,0.337733087709241,0.002660872,0.7995902922,-0.551500406321138,-0.2504998426258178,0.075012056,0.45884269747228146,0.3845014455982288,0.0391138592077131,2.1,67.14,-1.06611214419168,-1.3133038442523197,0.05461967199422553,0.032519457085136726,0.008014365890839698,0.020915306414111885,0.6663613323923996,0.36527300321743567,0.4815934690394226,0.5307794427890173
8,8,,,,,,1,False,-1.5860384409956783,-1.6654529747905433,0.012923961,-1.0618558251195365,-0.7844788104726097,0.051277121,-1.0590707121804226,-0.9569745119727364,0.030307269,0.7985957928999999,0.31534433509161613,0.3264782796986703,0.009476778,0.7999570398525065,-0.551500406321138,-0.6453591259520519,0.049484774,0.45884269747228146,0.493719764431293,0.00430181,-1.2,23.45,0.2879915578091695,-0.7783936410112672,0.22936553102887988,0.8673574707996012,0.4335228707207638,0.08650306422884511,0.43957546536262193,0.03815968928856485,0.4861344005443131,0.5327558309915736
9,9,,,,,,1,False,0.2007643596197061,0.14391506625692577,0.008840811,-1.0618558251195365,-1.0769480623675287,0.015335477,-1.0590707121804226,-1.0736984442486674,0.003700556,0.7977024855726768,0.31534433509161613,0.19209446205433878,0.041207912,0.7998943675840023,-0.551500406321138,-0.47380608258915374,0.040837234,0.45884269747228146,-0.1505940476161867,0.1021044359077293,0.9,77.05,-1.2208668529917772,-0.5654181134754668,0.156876511172818,0.25940105289851284,0.05293353263509659,0.39184382626089886,0.3627502139874585,0.957167383455979,0.48159501455347886,0.5324180926822684
