,Unnamed: 0,index,ID,text,course,level,AYA_32B_vanilla,AYA_32B_avg,AYA_32B_entropy,AYA_8B_vanilla,AYA_8B_avg,AYA_8B_entropy,noscale_AYA_32B_vanilla,noscale_AYA_32B_avg,noscale_AYA_32B_entropy,noscale_AYA_8B_vanilla,noscale_AYA_8B_avg,noscale_AYA_8B_entropy,conf_aya_32B_vanilla,conf_aya_32B_avg,conf_aya_32B_entropy,conf_aya_32B_verbal_conf,conf_noscale_aya_32B_vanilla,conf_noscale_aya_32B_avg,conf_noscale_aya_32B_entropy,conf_noscale_aya_32B_verbal_conf,FKGL,ARI,LIX,RSRS_mBERT,AYA_32B_entropy_minmax,AYA_8B_entropy_minmax,noscale_AYA_32B_entropy_minmax,noscale_AYA_8B_entropy_minmax,conf_aya_32B_entropy_minmax,conf_noscale_aya_32B_entropy_minmax,conf_aya_32B_verbal_conf_minmax,conf_noscale_aya_32B_verbal_conf_minmax
0,0,47,48,,,12,0.7570164508398803,1.254586601403694,0.052133259,1.046511469919622,1.1249058677837136,0.009706453,0.8585350935644364,0.9526957658028261,0.003595322,0.8128748542060211,0.9886883999862761,0.1049143365605629,2.7713952278835974,2.1737501879581167,0.076892137,0.7997198834435153,1.5747826508877918,1.295005551787254,0.053367607,0.7268945751706269,2.8,0.1870268946250606,47.45147995503934,-0.03132897284137344,0.6019019417469699,0.0832604432066342,0.03278843451644086,0.8219075149584687,0.8002107051887163,0.5233967373282863,0.9970299441723203,0.8955672244741281
1,1,13,14,,,10,-0.2590790858467036,-0.19097924638664907,0.028780199,1.046511469919622,1.1040804112808995,0.008471434,0.8585350935644364,0.9326790935335688,0.005997237,0.8128748542060211,0.8127196476895712,0.094414778,0.8653201524187449,0.882204328097155,0.021669132,0.7006688947318253,0.519625251808093,0.5777102177593155,0.000598525,0.7995780169701903,1.9,0.1043001625811129,45.48590381426202,-0.3138251416185094,0.3322210023216441,0.07265676802140592,0.05469329668390046,0.7396528666171854,0.22539980641514726,0.005869955810149214,0.006650778478981323,0.9994011238520027
2,2,173,174,,,4,-2.2912701592198714,-2.4078768525602903,0.013128983,-2.0582679463732787,-2.1682462106188902,0.014279719,-1.6235252011472756,-1.663951840816246,0.022992106,-0.14131702517400366,0.1906419977216215,0.095235338,-1.040754923046107,-1.359845989867559,0.043101103,0.7798184883053636,-2.645846945431004,-2.3184088197092065,0.067430742,0.7042041530978054,1.4,-1.1917519727740642,38.96097561,-0.26811637563388135,0.1514808922877261,0.12252577207983222,0.20968223800739944,0.7460812201382981,0.4484831122403023,0.661319337433497,0.7980422574322494,0.8631522074631283
3,3,87,88,,,6,-0.2590790858467036,-0.2608853690755969,0.0060829,0.2703166158463968,0.05398623613966214,0.050390135,-0.7961717695767048,-0.6058767791571913,0.060296267,-0.14131702517400366,-0.3437967330776076,0.0544691147758979,-1.040754923046107,-0.6326533559662854,0.057208727,0.7946595979775595,0.519625251808093,0.3923423866268127,0.035430853,0.7992273688971181,7.6,1.95186384489594,67.10114503816794,2.380447393634953,0.07011278537973126,0.4325640160805075,0.5498868268366137,0.4267143309344338,0.5953280010868903,0.34748405860284304,0.9464337677673491,0.998900196050086
4,4,133,134,,,12,0.7570164508398803,0.8583460936432342,0.01137463,1.046511469919622,1.0931889360998746,0.011961058,0.8585350935644364,0.9459304076069879,3.0551185717970346e-05,1.7670667335860462,1.6231672024221608,0.0483101452950203,0.8653201524187449,0.9774392714737056,0.006764006,0.7008569844754675,0.519625251808093,0.579618760507293,0.000596996,0.7998965879,1.8,0.1043001625811129,45.95758496822327,-0.7807838368205802,0.13122163867712267,0.10261812036867914,0.0002786190794122407,0.37846431491022453,0.07025379666081946,0.005854960316216968,0.008531427686087945,0.9998562269821188
5,5,91,92,,,4,-2.2912701592198714,-2.4701061175854373,0.045239683,-2.0582679463732787,-2.2362892833484733,0.004418832,-1.6235252011472756,-1.7372508329928127,0.003464659,-1.0955089045540285,-1.32847962266348,0.0276625926665087,-3.899867536243385,-3.7218771338890435,0.068921125,0.7994780257648472,-2.645846945431004,-2.912189912854269,0.022141429,0.7047372863678902,-1.5,-1.274478704818012,32.64912280701754,-2.298071027769999,0.5222949843854987,0.037861776800213,0.031596820739356005,0.2167092115151623,0.7172412149942783,0.21714954130064917,0.9946116865745793,0.863913829435759
6,6,31,32,,,12,0.7570164508398803,0.6128241933148493,0.042693809,0.2703166158463968,0.3198286267550122,0.017310243,0.8585350935644364,0.9121326834172235,0.012996648,0.8128748542060211,0.9742473377119883,0.071977559,0.8653201524187449,0.0811678103986836,0.086666017,0.7182420788756417,0.519625251808093,0.575271272854231,0.001586767,0.7994775616,6.9,2.0345905769398875,65.60410557,2.3199740195260845,0.49289525295935954,0.14854536541162605,0.11852616887479839,0.5638773282499402,0.9019460733981249,0.015562027042713898,0.18235942790586268,0.9992576156121334
7,7,269,270,,,10,-0.2590790858467036,0.27689325249927316,0.055808314,-0.5058782382268284,-0.6834984306791078,0.086212362,-0.7961717695767048,-0.2662542220232827,0.086519639,-0.14131702517400366,-0.2273212104179287,0.047627414,-0.08771738531368098,0.308762369569184,0.053740774,0.7997196140150663,0.519625251808093,0.5392956272696968,0.011999463,0.7995891532,4.5,0.49035824545286794,48.229729729729726,1.265764221491531,0.6443414458136635,0.7401279155180984,0.78903740011919,0.37311572599007536,0.5592304149299165,0.1176833610429298,0.9970272502434057,0.9994170328147168
8,8,20,21,,,6,0.7570164508398803,0.8173774497968171,0.00238644,1.046511469919622,1.1193502618721318,0.006559153,0.8585350935644364,0.9291212765420744,0.007535239,1.7670667335860462,1.590562604106727,0.09684327,0.8653201524187449,0.9589424227767308,0.000452193,0.7001491874552812,0.519625251808093,0.5706811831840174,0.003319668,0.7996361754383543,10.7,2.6136777012475205,56.14386792,0.9358535270790489,0.027426096554021066,0.05623822985569065,0.06871948904427842,0.7586779288907474,0.004554747805714657,0.03255725688619614,0.001454391591348525,0.9994842077068918
9,9,128,129,,,12,0.7570164508398803,0.821555713025097,0.000712627,0.2703166158463968,0.2961784718736691,0.010515704,0.8585350935644364,0.9457438031753711,0.000160723,-0.14131702517400366,0.06640452926555765,0.072119882,0.8653201524187449,0.9586429029143106,0.000714546,0.7268938881410264,0.519625251808093,0.5786107745289639,7.098546240537107e-05,0.7999446496230803,2.9,0.24217804932102538,50.014224751066855,0.13404582345930674,0.008096918182436236,0.09020854258593214,0.0014657533659860826,0.5649923016317591,0.007285554717181032,0.0006961716799853683,0.26886610243215525,0.9999248868583531
